PersoonID	Naam	Voornamen	Tussenvoegsels	Achternaam	LP_PersoonURL	LP_PersoonArchiefURL	ArchiefURLStatusCheck-17122019		Geboortedatum	Geboorteplaats	Sterfdatum	Sterfplaats
367	Chr. Van Abkoude	Chr.	van	Abkoude	https://www.literatuurplein.nl/persdetail?persId=367	http://web.archive.org/web/20191203191355/https://www.literatuurplein.nl/persdetail?persId=367	200	Klik	06-11-1880	Rotterdam	02-01-1960	Portland
371	Monica Maas	Monica		Maas	https://www.literatuurplein.nl/persdetail?persId=371	http://web.archive.org/web/20191203191411/https://www.literatuurplein.nl/persdetail?persId=371	200	Klik	30-12-1953	Texel		
372	Anne Takens	Anne		Takens	https://www.literatuurplein.nl/persdetail?persId=372	http://web.archive.org/web/20191203191428/https://www.literatuurplein.nl/persdetail?persId=372	200	Klik	14-04-1938	Schiedam	27-12-2013	Arnhem
373	Gitte Spee	Gitte		Spee	https://www.literatuurplein.nl/persdetail?persId=373	http://web.archive.org/web/20191203191444/https://www.literatuurplein.nl/persdetail?persId=373	200	Klik	29-12-1950	Soerabaja		
374	Frank Herzen	Frank		Herzen	https://www.literatuurplein.nl/persdetail?persId=374	http://web.archive.org/web/20191203191501/https://www.literatuurplein.nl/persdetail?persId=374	200	Klik	30-06-1933	Spaarndam-Oost	14-10-2007	Dirksland
379	Trevanian			Trevanian	https://www.literatuurplein.nl/persdetail?persId=379	http://web.archive.org/web/20191203191517/https://www.literatuurplein.nl/persdetail?persId=379	200	Klik	12-06-1931	Granville	14-12-2005	
380	Heinz G. Konsalik	Heinz G.		Konsalik	https://www.literatuurplein.nl/persdetail?persId=380	http://web.archive.org/web/20191203191534/https://www.literatuurplein.nl/persdetail?persId=380	200	Klik	28-05-1921	Keulen	02-10-1999	Salzburg
382	Trude De Jong	Trude	de	Jong	https://www.literatuurplein.nl/persdetail?persId=382	http://web.archive.org/web/20191203191554/https://www.literatuurplein.nl/persdetail?persId=382	200	Klik	25-03-1946	Voorburg		
383	Annemarie Van Haeringen	Annemarie	van	Haeringen	https://www.literatuurplein.nl/persdetail?persId=383	http://web.archive.org/web/20191203191610/https://www.literatuurplein.nl/persdetail?persId=383	200	Klik	16-02-1959	Haarlem		
384	Rindert Kromhout	Rindert		Kromhout	https://www.literatuurplein.nl/persdetail?persId=384	http://web.archive.org/web/20191203191627/https://www.literatuurplein.nl/persdetail?persId=384	200	Klik	09-08-1958	Rotterdam		
385	Camila Fialkowski	Camila		Fialkowski	https://www.literatuurplein.nl/persdetail?persId=385	http://web.archive.org/web/20191203191645/https://www.literatuurplein.nl/persdetail?persId=385	200	Klik	26-01-1950	Vlissingen		
397	Ischa Meijer	Ischa		Meijer	https://www.literatuurplein.nl/persdetail?persId=397	http://web.archive.org/web/20191203191702/https://www.literatuurplein.nl/persdetail?persId=397	200	Klik	14-02-1943	Amsterdam	14-02-1995	Amsterdam
398	Connie Palmen	Connie		Palmen	https://www.literatuurplein.nl/persdetail?persId=398	http://web.archive.org/web/20191203191718/https://www.literatuurplein.nl/persdetail?persId=398	200	Klik	25-11-1955	Sint Odiliënberg		
399	Isabel Allende	Isabel		Allende	https://www.literatuurplein.nl/persdetail?persId=399	http://web.archive.org/web/20191203191734/https://www.literatuurplein.nl/persdetail?persId=399	200	Klik	02-08-1942	Lima		
405	Tomas Ross	Tomas		Ross	https://www.literatuurplein.nl/persdetail?persId=405	http://web.archive.org/web/20191203191751/https://www.literatuurplein.nl/persdetail?persId=405	200	Klik	16-09-1944	Den Bommel		
